#"Código.Municipio" "Población" "Población.Pobre" "Incidencia" "Código.Departamento" "Departamento" "Municipio" "Número.de.Hogares" "Bajo.Logro.Educativo" "Bajo.Logro.Educativo.Absoluto" "Analfabetismo" "Analfabetismo.Absoluto" "Inasistencia.Escolar" "Inasistencia.Escolar.Absoluto" "Rezago.Escolar" "Rezago.Escolar.Absoluto" "Barreras.Cuidado.Primera.Infancia" "Barreras.Cuidado.Primera.Infancia.Absoluto" "Trabajo.Infantil" "Trabajo.Infantil.Absoluto" "Alta.Dependencia.Económica" "Alta.Dependencia.Económica.Absoluto" "Empleo.Informal" "Empleo.Informal.Absoluto" "Sin.Seguro.Salud" "Sin.Seguro.Salud.Absoluto" "Barreras.Acceso.Salud" "Barreras.Acceso.Salud.Absoluto" "Sin.Fuente.Agua.Mejorada" "Sin.Fuente.Agua.Mejorada.Absoluto" "Inadecuada.Eliminación.Excretas" "Inadecuada.Eliminación.Excretas.Absoluto" "Pisos.Inadecuados" "Pisos.Inadecuados.Absoluto" "Paredes.Inadecuadas" "Paredes.Inadecuadas.Absoluto" "Hacinamiento" "Hacinamiento.Absoluto" "Coordenadas" "Latitud" "Longitud" "NivelesIncidencia"
"21" 5093 16560 12492.999792 0.7544082 5 "Antioquia" "Betulia" 3998 0.9147074 3657.0001852 0.3841921 1536.0000158 0.198099 791.999802 0.4142071 1655.9999858 0.2178589 870.9998822 0.1295648 518.0000704 0.4307154 1722.0001692 0.9732366 3890.9999268 0.1738369 694.9999262 0.0690345 275.999931 0.3746873 1497.9998254 0.349925 1399.00015 0.1733367 693.0001266 0.0090045 35.999991 0.1683342 673.0001316 "(6.117, -75.988)" 6.117 -75.988 "(0.571,0.786]"
"22" 5101 27890 17642.034253 0.6325577 5 "Antioquia" "Ciudad Bolívar" 7383 0.8362948 6174.3645084 0.2855195 2107.9904685 0.1360069 1004.1389427 0.3357208 2478.6266664 0.1944087 1435.3194321 0.0665719 491.5003377 0.4277407 3158.0095881 0.9466176 6988.8777408 0.1847741 1364.1871803 0.0613333 452.8237539 0.2235589 1650.5353587 0.2348699 1734.0444717 0.0205084 151.4135172 0.0085581 63.1844523 0.1552759 1146.4019697 "(5.841442, -76.010193)" 5.841442 -76.010193 "(0.571,0.786]"
"23" 5107 7944 6486.0003432 0.8164653 5 "Antioquia" "Briceño" 1846 0.9165764 1692.0000344 0.3813651 703.9999746 0.3087757 569.9999422 0.4685807 864.9999722 0.2659805 491.000003 0.1608884 296.9999864 0.443662 819.000052 0.9745395 1798.999917 0.1121343 206.9999178 0.1072589 197.9999294 0.428494 790.999924 0.4945829 913.0000334 0.156013 287.999998 0.0254605 47.000083 0.2811484 518.9999464 "(7.1111111, -75.55)" 7.1111111 -75.55 "(0.786,1]"
"24" 5113 6418 5277.0002584 0.8222188 5 "Antioquia" "Buritica" 1543 0.9144524 1411.0000532 0.4445885 686.0000555 0.2372003 366.0000629 0.3655217 563.9999831 0.2430331 375.0000733 0.0557356 86.0000308 0.5871679 906.0000697 0.9773169 1507.9999767 0.0635126 97.9999418 0.0745301 114.9999443 0.6279974 968.9999882 0.3266364 503.9999652 0.4828257 745.0000551 0.014906 22.999958 0.2799741 432.0000363 "(6.75, -75.9166667)" 6.75 -75.9166667 "(0.786,1]"
"25" 5120 27210 24135.999228 0.8870268 5 "Antioquia" "Cáceres" 6124 0.9041476 5536.9999024 0.4657087 2852.0000788 0.206401 1263.999724 0.4425212 2709.9998288 0.2900065 1775.999806 0.0483344 295.9998656 0.6534944 4001.9997056 0.9859569 6038.0000556 0.3167864 1939.9999136 0.0613978 376.0001272 0.7320379 4483.0000996 0.4550947 2786.9999428 0.4511757 2762.9999868 0.1792946 1098.0001304 0.3502613 2145.0002012 "(7.6666667, -75.33333329999999)" 7.6666667 -75.3333333 "(0.786,1]"
"26" 5125 7663 5971.9996596 0.7793292 5 "Antioquia" "Caicedo" 1837 0.9145346 1680.0000602 0.3255308 598.0000796 0.2025041 372.0000317 0.4485574 823.9999438 0.2384322 437.9999514 0.1393576 255.9999112 0.4333152 796.0000224 0.9749592 1791.0000504 0.0707676 130.0000812 0.150245 276.000065 0.3647251 670.0000087 0.4022863 738.9999331 0.4540011 834.0000207 0.0032662 6.0000094 0.1970604 361.9999548 "(6.404999999999999, -75.9822222)" 6.405 -75.9822222 "(0.571,0.786]"
"27" 5129 67770 19444.276989 0.2869157 5 "Antioquia" "Caldas" 18031 0.6411681 11560.9020111 0.1062307 1915.4457517 0.0547019 986.3299589 0.2493206 4495.4997386 0.0993439 1791.2698609 0.0252165 454.6787115 0.3106574 5601.4635794 0.6974406 12575.5514586 0.1291181 2328.1284611 0.0488341 880.5276571 0.0812673 1465.3306863 0.0363461 655.3565291 0.004737 85.412847 0.007118 128.344658 0.0975656 1759.2053336 "(6.09, -75.63799999999999)" 6.09 -75.638 "(0.142,0.357]"
"28" 5134 3382 2640.0000224 0.7806032 5 "Antioquia" "Campamento*" 803 0.9028643 725.0000329 0.4333748 347.9999644 0.2054795 165.0000385 0.3860523 309.9999969 0.2478207 199.0000221 0.0996264 79.9999992 0.5143213 413.0000039 0.98132 787.99996 0.1419676 113.9999828 0.0510585 40.9999755 0.4408468 353.9999804 0.5566625 446.9999875 0.135741 109.000023 0.0012453 0.9999759 0.1917808 153.9999824 "(6.978888899999999, -75.2963889)" 6.9788889 -75.2963889 "(0.571,0.786]"
"29" 5138 16407 12620.9994336 0.7692448 5 "Antioquia" "Cañasgordas" 3564 0.8487654 3024.9998856 0.3313692 1180.9998288 0.14422 514.00008 0.365881 1303.999884 0.212963 759.000132 0.0634119 226.0000116 0.6040965 2152.999926 0.9660494 3443.0000616 0.2550505 908.999982 0.1010101 359.9999964 0.6001684 2139.0001776 0.3813131 1358.9998884 0.2968575 1058.00013 0.0193603 69.0001092 0.3066779 1093.0000356 "(6.752908, -76.02718399999999)" 6.752908 -76.027184 "(0.571,0.786]"
"30" 5142 4718 2759.9998048 0.5849936 5 "Antioquia" "Caracolí" 1423 0.8236121 1172.0000183 0.227688 324.000024 0.0801124 113.9999452 0.3099086 440.9999378 0.1257906 179.0000238 0.0674631 95.9999913 0.4483486 638.0000578 0.9367533 1332.9999459 0.1440618 204.9999414 0.1096275 155.9999325 0.2220661 316.0000603 0.1637386 233.0000278 0.0780042 110.9999766 0.018974 27.000002 0.1159522 164.9999806 "(6.399999999999999, -74.766667)" 6.4 -74.766667 "(0.571,0.786]"
