cod.municipio,homicidios12,homicidios13,poblacion12,poblacion13,tasa.homicidios12,tasa.homicidios13
25781,0,1,5321,5399,0.00,0.19
25785,0,2,25121,25757,0.00,0.08
25793,0,1,8483,8589,0.00,0.12
25797,1,0,8533,8663,0.12,0.00
25799,2,3,19496,19612,0.10,0.15
25805,1,3,4826,4830,0.21,0.62
25807,0,1,2966,2957,0.00,0.34
25815,2,4,18050,18170,0.11,0.22
25817,2,5,29511,30326,0.07,0.16
25823,1,0,4581,4560,0.22,0.00
25839,0,0,11066,10948,0.00,0.00
25841,0,0,6373,6312,0.00,0.00
25843,4,8,38169,38395,0.10,0.21
25845,1,0,8837,8956,0.11,0.00
25851,2,0,4981,4988,0.40,0.00
25862,1,0,7662,7669,0.13,0.00
25867,1,0,4162,4171,0.24,0.00
25871,0,0,2165,2168,0.00,0.00
25873,0,2,18764,19082,0.00,0.10
25875,4,3,24870,24963,0.16,0.12
25878,1,1,13370,13365,0.07,0.07
25885,2,3,16789,16842,0.12,0.18
25898,0,0,5401,5460,0.00,0.00
25899,9,15,116215,118267,0.08,0.13
27001,88,106,115052,115290,0.76,0.92
27006,8,3,9842,9756,0.81,0.31
27025,0,1,34117,34969,0.00,0.03
27050,6,3,9158,9402,0.66,0.32
27073,2,3,8178,8146,0.24,0.37
27075,9,5,9255,9279,0.97,0.54
27077,3,7,17086,17183,0.18,0.41
27099,1,3,10047,10066,0.10,0.30
27135,1,1,7396,7589,0.14,0.13
27150,5,5,5359,5400,0.93,0.93
27160,0,0,9915,9968,0.00,0.00
27205,5,3,14173,14328,0.35,0.21
27245,11,2,13352,13584,0.82,0.15
27250,5,4,14268,14569,0.35,0.27
27361,15,18,24824,25012,0.60,0.72
27372,2,2,3407,3373,0.59,0.59
27413,3,2,10934,11015,0.27,0.18
27425,1,1,26696,27602,0.04,0.04
27430,0,0,12992,13175,0.00,0.00
27450,1,5,15238,15596,0.07,0.32
27491,6,8,7934,7940,0.76,1.01
27495,1,0,8275,8376,0.12,0.00
27580,0,0,9191,9356,0.00,0.00
27600,0,3,8633,8743,0.00,0.34
27615,9,14,28665,28719,0.31,0.49
27660,10,9,4900,4875,2.04,1.85
27745,1,2,3869,3935,0.26,0.51
27787,8,9,18670,18752,0.43,0.48
27800,5,4,14973,15021,0.33,0.27
27810,2,0,9144,9298,0.22,0.00
41001,101,106,335490,337848,0.30,0.31
41006,14,14,30846,31516,0.45,0.44
41013,1,1,8888,8954,0.11,0.11
41016,5,4,24169,24847,0.21,0.16
41020,6,10,24257,24348,0.25,0.41
41026,1,0,4078,4154,0.25,0.00
41078,8,2,9497,9533,0.84,0.21
