# HYG-Database modificada para el curso Herramientas Computacionales en UniAndes
# + Info en http://www.astronexus.com/hyg

# BEGIN of field descriptions
# id: The database primary key.
# hip: The star's ID in the Hipparcos catalog, if known.
# hd: The star's ID in the Henry Draper catalog, if known.
# hr: The star's ID in the Harvard Revised catalog, which is the same as its number in the Yale Bright Star Catalog.
# gl: The star's ID in the third edition of the Gliese Catalog of Nearby Stars.
# bf: The Bayer / Flamsteed designation, primarily from the Fifth Edition of the Yale Bright Star Catalog. This is a combination of the two designations. The Flamsteed number, if present, is given first; then a three-letter abbreviation for the Bayer Greek letter; the Bayer superscript number, if present; and finally, the three-letter constellation abbreviation. Thus Alpha Andromedae has the field value "21Alp And", and Kappa1 Sculptoris (no Flamsteed number) has "Kap1Scl".
# ra, dec: The star's right ascension and declination, for epoch and equinox 2000.0.
# proper: A common name for the star, such as "Barnard's Star" or "Sirius". I have taken these names primarily from the Hipparcos project's web site, which lists representative names for the 150 brightest stars and many of the 150 closest stars. I have added a few names to this list. Most of the additions are designations from catalogs mostly now forgotten (e.g., Lalande, Groombridge, and Gould ["G."]) except for certain nearby stars which are still best known by these designations.
# dist: The star's distance in light years. A value >= 32620000 indicates missing or dubious (e.g., negative) parallax data in Hipparcos.
# pmra, pmdec: The star's proper motion in right ascension and declination, in milliarcseconds per year.
# rv: The star's radial velocity in km/sec, where known.
# mag: The star's apparent visual magnitude.
# absmag: The star's absolute visual magnitude (its apparent magnitude from a distance of 10 parsecs).
# spect: The star's spectral type, if known.
# ci: The star's color index (blue magnitude - visual magnitude), where known.
# x,y,z: The Cartesian coordinates of the star, in a system based on the equatorial coordinates as seen from Earth. +X is in the direction of the vernal equinox (at epoch 2000), +Z towards the north celestial pole, and +Y in the direction of R.A. 6 hours, declination 0 degrees.
# vx,vy,vz: The Cartesian velocity components of the star, in the same coordinate system described immediately above. They are determined from the proper motion and the radial velocity (when known). The velocity unit is parsecs per year; these are small values (around 1 millionth of a parsec per year), but they enormously simplify calculations using parsecs as base units for celestial mapping.
# rarad, decrad, pmrarad, prdecrad: The positions in radians, and proper motions in radians per year.
# bayer: The Bayer designation as a distinct value
# flam: The Flamsteed number as a distinct value
# con: The standard constellation abbreviation
# comp, comp_primary, base: Identifies a star in a multiple star system. comp = ID of companion star, comp_primary = ID of primary star for this component, and base = catalog ID or name for this multi-star system. Currently only used for Gliese stars.
# lum: Star's luminosity as a multiple of Solar luminosity.
# var: Star's standard variable star designation, when known.
# var_min, var_max: Star's approximate magnitude range, for variables. This value is based on the Hp magnitudes for the range in the original Hipparcos catalog, adjusted to the V magnitude scale to match the "mag" field.
# END of field descriptions

id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
27656,27724,,,,,,5.870999,87.220718,695.522,9.75,-29.99,0.0,10.190,3.546,G2,0.515,0.349012,10.332827,212.968798,-0.00000903,0.00003128,-0.00000150,1.5370240046066712,1.5222887077883076,0.00000004726933385416667,-0.000000145395622,,,,1,27656,,3.3235330357747737,,,
29384,29457,,,,,,6.206961,88.131187,329.828,115.24,-231.37,0.0,10.580,5.556,G2,0.750,-0.179049,3.292522,101.058420,-0.00006254,0.00011012,-0.00000370,1.624978501618748,1.5381793800076449,0.0000005586992854722222,-0.000001121713412,,,,1,29384,,0.521915265835448,,10.632,10.522
30441,30514,,,,,,6.414295,-32.121915,285.89,150.56,413.46,0.0,9.430,4.716,G2,0.570,-8.035030,73.789798,-46.601440,-0.00007370,0.00008593,0.00014877,1.6792586289354277,-0.5606331705318738,0.0000007299354774444445,0.000002004510643,,,,1,30441,,1.1313578641195627,,,
37149,37255,,,,,,7.650946,-66.721986,718.502,-18.85,11.33,0.0,9.430,2.715,G2,0.507,-36.462529,79.042076,-202.334367,0.00001362,0.00001852,0.00000478,2.0030130923604355,-1.1645183463678375,-0.00000009138737878472224,0.00000005492939,,,,1,37149,,7.144963260755133,,,
37199,37305,,,,,,7.658398,-55.804811,326200,-7.01,8.85,0.0,9.600,-10.400,G2,0.701,-23641.399260,50987.065100,-82712.776724,0.00159024,0.00464883,0.00241117,2.0049637886274088,-0.9739776885724125,-0.000000033985439006944446,0.00000004290601,,,,1,37199,,1258925.4117941686,,9.658,9.548
37777,37885,,,,,,7.764691,0.822664,289.441,-45.25,-189.10,0.0,9.520,4.780,G2,0.680,-39.546470,79.420789,1.273974,0.00001690,0.00000972,-0.00008133,2.0327913754408335,0.01435819615164625,-0.00000021937819045138888,-0.000000916782669,,,,1,37777,,1.0665961212302573,,,
38038,38146,63660,3043,,,,7.817132,-24.912208,281.45,-34.68,14.71,2.0,5.320,0.640,G2,0.751,-35.838574,69.564083,-36.344199,0.00001086,0.00001060,0.00000472,2.0465204508328867,-0.434800045984195,-0.00000016813338441666668,0.000000071316092,,,,1,38038,,48.30588020397728,,,
41588,41706,,,,,,8.504962,-31.023392,438.441,27.48,-19.82,0.0,9.300,3.658,G2,0.771,-70.237248,91.289159,-69.272578,-0.00001013,-0.00001619,-0.00001107,2.226593724734495,-0.5414603397881212,0.00000013322679941666667,-0.000000096090071,,,,1,41588,,2.9977816715823815,,,
41620,41738,,,,,,8.511053,-5.399062,578.369,-15.25,-3.68,0.0,9.740,3.496,G2,0.570,-107.862386,139.729906,-16.682986,0.00001056,0.00000777,-0.00000315,2.228188590076745,-0.09423141411000124,-0.00000007393408628472222,-0.000000017841143,,,,1,41620,,3.4801663221500383,,,
41735,41853,,,,,,8.533678,-61.178065,1117.12,-2.82,7.60,0.0,9.330,1.657,G2,0.957,-101.656847,130.090653,-300.041883,-0.00000312,0.00001159,0.00000608,2.2341117313722245,-1.0677586565989088,-0.000000013671745791666668,0.000000036845839,,,,1,41735,,18.93215275777465,,,
42545,42664,,,,,,8.695801,-57.171602,1874.71,-5.18,7.33,0.0,9.100,0.303,G2,0.951,-202.085298,237.138913,-482.929851,-0.00000015,0.00002242,0.00001107,2.2765554512581994,-0.9978326850526325,-0.00000002511334865277778,0.000000035536842,,,,1,42545,,65.88704043340734,,,
46833,46966,,,,,,9.572688,-32.578115,276.675,82.06,-173.34,0.0,9.620,4.978,G2,0.571,-57.520425,42.422656,-45.669949,0.00001086,-0.00004993,-0.00006006,2.50612389608343,-0.5685953762902888,0.0000003978381062638889,-0.000000840376033,,,,1,46833,,0.88879171988482,,,
54719,54880,,,,,,11.237379,-35.650127,486.866,38.44,-40.58,0.0,9.850,3.980,G2,0.626,-118.873011,24.053864,-86.990148,0.00001126,-0.00003065,-0.00002386,2.9419388576708143,-0.6222120904521713,0.00000018636237880555555,-0.000000196737391,,,,1,54719,,2.228435149270303,,,
62892,63092,,,,,,12.927316,22.180857,318.866,2.95,-19.84,0.0,9.670,4.719,G2,0.640,-87.863381,-21.759845,36.904339,-0.00000311,-0.00000221,-0.00000871,3.3843634571425314,0.38712899136345247,0.000000014302003576388891,-0.000000096187034,,,,1,62892,,1.1282361216489918,,,
63121,63323,,,,,,12.976519,24.173962,443.207,19.03,2.33,0.0,10.360,4.694,G2,0.466,-119.925991,-31.345222,55.639753,0.00000378,-0.00001197,0.00000140,3.3972447502753798,0.4219152258413825,0.00000009226004340972223,0.000000011296158,,,,1,63121,,1.1545161169214302,,,
63640,63843,,,,,,13.084344,23.840137,965.089,-22.36,7.00,0.0,9.670,2.315,G2,0.436,-259.783317,-75.794458,119.581707,-0.00000509,0.00003192,0.00000918,3.425473139462034,0.41608889194837373,-0.00000010840433897222221,0.000000033936957,,,,1,63640,,10.327614057613975,,,
64260,64465,,,,,,13.213279,-55.108660,704.536,-23.67,-15.57,0.0,8.020,1.348,G2,1.069,-117.366616,-38.586245,-177.157292,0.00000496,0.00002772,-0.00000933,3.459228456890266,-0.9618275594980374,-0.00000011475539818749999,-0.00000007548549,,,,1,64260,,25.165177616146437,,,
64288,64493,,,,,,13.219502,21.001285,571.278,14.61,-31.35,0.0,9.450,3.233,G2,0.745,-155.235617,-51.316821,62.765111,-0.00000516,-0.00001477,-0.00002485,3.460857493773689,0.36654156609548,0.00000007083127872916667,-0.000000151989088,,,,1,64288,,4.43404401633441,,,
65581,65787,,,,,,13.486653,-31.635461,1087.33,-28.90,-14.42,0.0,9.680,2.066,G2,1.130,-262.575664,-107.688957,-174.837634,-0.00000641,0.00004784,-0.00001984,3.5307974750274056,-0.5521429587136549,-0.00000014011115368055553,-0.000000069910132,,,,1,65581,,12.989726288978545,,,
66143,66352,,,,,,13.599805,21.391627,1763.24,-21.39,5.04,0.0,9.960,1.296,G2,0.522,-459.799908,-204.687918,197.157129,-0.00001839,0.00005316,0.00001230,3.560420572610595,0.3733543198028288,-0.00000010370164627083333,0.000000024434609,,,,1,66143,,26.399761293548085,,,
68495,68714,,,,,,14.067107,22.525094,320.118,116.06,-314.47,0.0,10.160,5.201,G2,0.681,-77.695810,-46.696590,37.594498,-0.00002068,-0.00007685,-0.00013819,3.6827600394041293,0.3931370608061662,0.0000005626747576527777,-0.000001524593581,,,,1,68495,,0.723769037074529,,,
68798,69018,,,,,,14.129050,-53.691088,632.17,-1.40,-2.14,0.0,7.740,1.303,G2,0.679,-97.386312,-60.701985,-156.169763,0.00000068,0.00000197,-0.00000119,3.6989767146103243,-0.937086263781355,-0.000000006787391527777778,-0.000000010375012,,,,1,68798,,26.230103243087672,,7.894,7.554
72708,72935,,,,,,14.906442,-5.621827,540.962,-78.51,23.08,0.0,9.870,3.772,G2,0.590,-119.523895,-113.807687,-16.245776,-0.00004484,0.00004446,0.00001847,3.90249751551182,-0.09811938391877625,-0.0000003806272206041667,0.000000111894997,,,,1,72708,,2.6989820734720142,,,
73628,73856,,,,,,15.094272,-6.590607,1735.11,-9.05,22.24,0.0,10.260,1.631,G2,0.455,-364.300796,-382.741779,-61.050163,-0.00002144,0.00001132,0.00005697,3.9516711250881666,-0.11502779955258251,-0.00000004387563809027778,0.000000107822562,,,,1,73628,,19.39099078614849,,,
76545,76781,,,,,,15.677019,-3.202051,1388.09,-10.63,-6.40,0.0,9.710,1.565,G2,1.071,-242.749868,-348.690310,-23.769038,-0.00001758,0.00001313,-0.00001318,4.104233992062675,-0.05588632949565625,-0.000000051535694243055556,-0.000000031028075,,,,1,76545,,20.606299132700006,,9.76,9.63
